45
0.00E+00	0.00E+00	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	2.70E-02	1.00E-01
1.01E+00	1.80E-02	2.00E-01
1.66E+00	3.45E-01	3.00E-01
1.87E+00	4.13E-01	3.00E-01
1.67E+00	5.69E-01	3.00E-01
7.67E-01	8.87E-01	3.00E-01
5.00E-03	1.17E+00	4.00E-01
5.00E-03	1.37E+00	4.00E-01
0.00E+00	1.42E+00	4.00E-01
5.00E-03	1.68E+00	4.00E-01
5.00E-03	1.66E+00	4.00E-01
5.00E-03	1.77E+00	4.00E-01
5.00E-03	1.66E+00	4.00E-01
5.00E-03	3.99E-01	4.00E-01
0.00E+00	4.20E-02	5.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	2.30E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.30E-02	6.00E-01
5.00E-03	2.30E-02	1.00E-01
1.42E+00	1.80E-02	2.00E-01
1.39E+00	2.03E-01	3.00E-01
1.87E+00	3.74E-01	3.00E-01
1.95E+00	3.94E-01	3.00E-01
1.58E+00	3.84E-01	3.00E-01
7.08E-01	3.94E-01	3.00E-01
2.30E-01	5.50E-01	3.00E-01
0.00E+00	7.60E-01	4.00E-01
0.00E+00	1.10E+00	4.00E-01
5.00E-03	1.26E+00	4.00E-01
5.00E-03	1.48E+00	4.00E-01
5.00E-03	1.51E+00	4.00E-01
5.00E-03	8.53E-01	4.00E-01
5.00E-03	9.60E-02	4.00E-01
5.00E-03	2.30E-02	5.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
5.00E-03	1.80E-02	6.00E-01
